TABLE II. Fit parameters (cf. Eq. 5) for the DR plasma rate coefficient of the Feq+ M-shell ions with 7 ≤ q ≤ 10 and
13 ≤ q ≤ 15. Each fit is valid in the specified temperature range [Tmin, Tmax]. The quantity ∆α denotes the systematic
uncertainty of the absolute rate coefficient at 90% confidence level. The row labeled N → N
′specifies which core excitations have been covered by each experiment. Units are cm3 s−1 K3/2 for ci and K for Ei, Tmin, and Tmax.
q 7 8 9 10 13 14 15e
c1  5.978E-7 4.777E-7 6.485E-5 6.487E-5 1.570E-4 1.07E-4 3.875E-6
c2  8.939E-7 1.231E-6 6.360E-5 8.793E-5 6.669E-4 8.26E-6 5.872E-2
c3  1.640E-5 5.055E-5 3.720E-4 4.939E-4 2.789E-3 1.00E-6 2.173E-2
c4  9.598E-5 3.413E-4 1.607E-3 3.787E-3 9.938E-3 1.46E-5 3.411E-3
c5  1.105E-4 1.625E-3 3.516E-3 8.878E-3 1.362E-2 2.77E-6 9.398E-4
c6  7.299E-4 3.873E-3 7.326E-3 5.325E-2 6.888E-2 1.51E-6 7.272E-5
c7  3.858E-3 6.438E-3 2.560E-2 2.104E-1 1.838E-1 3.29E-6
c8  2.476E-2 6.970E-2 1.005E-1 1.63E-4
c9  1.789E-1 2.925E-1 1.942E-1 4.14E-4
c10 2.17E-3
c11 6.40E-3
c12 4.93E-2
c13 1.51E-1
E1  8.385E+0 9.034E+0 3.994E+1 1.101E+2 1.088E+2 7.82E+1 2.006E+7
E2  9.922E+1 1.128E+2 5.621E+2 5.654E+2 8.388E+2 1.14E+2 3.866E+5
E3  5.234E+2 6.624E+2 1.992E+3 1.842E+3 3.006E+3 2.29E+2 2.144E+5
E4  1.579E+3 1.143E+3 8.325E+3 7.134E+3 1.127E+4 2.95E+2 7.431E+4
E5  4.489E+3 3.926E+3 2.757E+4 3.085E+4 4.162E+4 5.16E+2 3.194E+4
E6  2.102E+4 1.300E+4 7.409E+4 1.878E+5 1.885E+5 7.08E+2 1.650E+4
E7  9.778E+4 4.684E+4 1.552E+5 6.706E+5 5.422E+5 1.28E+3
E8  3.353E+5 2.670E+5 4.388E+5 2.22E+3
E9  8.081E+5 7.358E+5 7.355E+5 3.86E+3
E10 1.12E+4
E11 2.87E+4
E12 1.25E+5
E13 4.45E+5
Tmin 12 12 100 100 120 11600 2300
Tmax 1.2E+9 1.2E+9 1E+7 1E+7 1.8E+7 1.2E+8 1E+14
∆α ±25%a ±29%b ±25%c ±25%d ±29% ±29% ±20%
q 16a 17 18 19 20 21 22
c1  2.06E-1 4.79E-6 2.14E-5 1.24E-4 7.71E-5 1.46E-4 2.47E-6
c2  1.24E+0 9.05E-5 1.05E-5 1.84E-4 6.08E-5 1.17E-3 1.21E-4
c3  3.48E-5 4.34E-5 1.47E-4 3.93E-4 4.22E-3 2.18E-3
c4  1.83E-4 6.62E-5 7.87E-4 1.14E-3 2.80E-3 1.50E-3
c5  5.26E-4 3.86E-4 3.54E-3 7.63E-3 9.22E-3 1.47E-2
c6  2.12E-3 1.24E-3 5.02E-3 1.37E-2 3.13E-2 3.14E-2
c7  4.29E-3 5.56E-3 1.96E-2 2.08E-2 9.98E-2 7.98E-2
c8  3.16E-2 4.07E-2 6.43E-2 7.86E-2 1.25E-1
c9  2.92E-1 7.25E-1
c10 1.46E+0
E1  4.38E+6 2.58E+3 1.01E+2 1.61E+1 6.75E+1 1.58E+3 1.04E+3
E2  7.98E+6 6.08E+3 2.45E+2 7.90E+1 1.15E+2 2.43E+3 5.44E+3
E3  1.35E+4 8.80E+2 7.73E+2 2.43E+3 4.85E+3 1.35E+4
E4  2.92E+4 7.53E+3 3.86E+3 6.71E+3 1.09E+4 3.73E+4
E5  7.62E+4 1.93E+4 1.66E+4 2.74E+4 7.13E+4 1.21E+5
E6  2.21E+5 6.75E+4 6.08E+4 6.73E+4 2.72E+5 3.15E+5
E7  6.57E+5 2.90E+5 2.33E+5 2.80E+5 9.92E+5 9.08E+5
E8  1.40E+6 1.11E+6 9.74E+5 1.11E+6 4.64E+6
E9  4.65E+6 1.15E+7
E10 9.14E+6
Tmin 12 580 120 12 12 230 12
Tmax 1.2E+9 1.2E+8 1.2E+8 1.2E+8 1.2E+8 1.2E+8 1.2E+8
∆α ±22% ±20% ±20% ±20% ±20% ±20% ±20%

′
